SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1012 Lake Shore Blvd,Evanston,IL,60202,3000000,8,5.0,Evanston,7326,22499,1894,42,410,,Active,,,https://www.redfin.com/IL/Evanston/1012-Lake-Shore-Blvd-60202/home/13579331,MRED,11814282,N,Y,42.0361162,-87.6710198
MLS Listing,,Single Family Residential,2444 Hartrey Ave,Evanston,IL,60201,840000,3,2.0,Evanston,2175,5662,1908,45,386,,Active,,,https://www.redfin.com/IL/Evanston/2444-Hartrey-Ave-60201/home/13630829,MRED,11811577,N,Y,42.0625114,-87.7036726
MLS Listing,,Single Family Residential,1901 Emerson St,Evanston,IL,60201,285000,3,2.5,Evanston,1035,3402,1925,46,275,,Active,,,https://www.redfin.com/IL/Evanston/1901-Emerson-St-60201/home/13629828,MRED,11810330,N,Y,42.0522882,-87.699098
MLS Listing,,Single Family Residential,919 Edgemere Ct,Evanston,IL,60202,2995000,6,4.0,Evanston,5550,19040,1911,47,540,,Active,,,https://www.redfin.com/IL/Evanston/919-Edgemere-Ct-60202/home/13576440,MRED,11810994,N,Y,42.0346332,-87.6703264
MLS Listing,,Multi-Family (2-4 Unit),1511 Greenleaf St,Evanston,IL,60202,450000,5,3.0,Evanston,,6250,1909,49,,,Active,,,https://www.redfin.com/IL/Evanston/1511-Greenleaf-St-60202/home/13605478,MRED,11802903,N,Y,42.0377987,-87.6936333
MLS Listing,,Condo/Co-op,1572 Maple Ave #304,Evanston,IL,60201,645000,3,2.5,Evanston,1737,,2001,49,371,575,Active,,,https://www.redfin.com/IL/Evanston/1572-Maple-Ave-60201/unit-304/home/12654677,MRED,11804604,N,Y,42.0464731,-87.6855107
MLS Listing,,Condo/Co-op,1570 Elmwood Ave #1011,Evanston,IL,60201,550000,2,2.0,One Evanston,1349,,2009,50,408,830,Active,,,https://www.redfin.com/IL/Evanston/1570-Elmwood-Ave-60201/unit-1011/home/40374067,MRED,11808359,N,Y,42.0463172,-87.6841335
MLS Listing,,Condo/Co-op,1856 Sherman Ave Unit 6SW,Evanston,IL,60201,95000,2,1.0,Evanston,1000,,1947,52,95,1202,Active,August-6-2023 01:00 PM,August-6-2023 03:00 PM,https://www.redfin.com/IL/Evanston/1856-Sherman-Ave-60201/unit-6SW/home/185741351,MRED,11806406,N,Y,42.0517306,-87.682043
MLS Listing,,Multi-Family (2-4 Unit),1213 Darrow Ave,Evanston,IL,60202,430000,4,2.0,Evanston,,4791,1892,55,,,Active,,,https://www.redfin.com/IL/Evanston/1213-Darrow-Ave-60202/home/13605658,MRED,11804457,N,Y,42.0398398,-87.6973015
MLS Listing,,Single Family Residential,1221 Lee St,Evanston,IL,60202,1470000,6,4.5,Evanston,4485,10106,1904,55,328,,Active,,,https://www.redfin.com/IL/Evanston/1221-Lee-St-60202/home/185699453,MRED,11801920,N,Y,42.0361242,-87.6896552
MLS Listing,,Condo/Co-op,820 Seward St Unit 3E,Evanston,IL,60202,129000,1,1.0,Evanston,,,1963,56,,352,Active,,,https://www.redfin.com/IL/Evanston/820-Seward-St-60202/unit-3E/home/12746091,MRED,11802679,N,Y,42.028497,-87.6833297
MLS Listing,,Single Family Residential,1625 Oakton St,Evanston,IL,60202,299000,2,1.0,Evanston,816,5928,1950,58,366,,Active,,,https://www.redfin.com/IL/Evanston/1625-Oakton-St-60202/home/13604194,MRED,11800829,N,Y,42.0268947,-87.6959562
MLS Listing,,Single Family Residential,1030 Ashland Ave,Evanston,IL,60202,670000,4,3.0,Evanston,1900,3963,1897,59,353,,Active,,,https://www.redfin.com/IL/Evanston/1030-Ashland-Ave-60202/home/13606346,MRED,11799727,N,Y,42.0369469,-87.693337
MLS Listing,,Single Family Residential,2944 Grant St,Evanston,IL,60201,2249000,5,5.0,Evanston,5174,23958,1930,63,435,,Active,,,https://www.redfin.com/IL/Evanston/2944-Grant-St-60201/home/13631502,MRED,11786913,N,Y,42.058676,-87.7167613
MLS Listing,,Vacant Land,1917 Greenwood St,Evanston,IL,60201,2250000,,,Evanston,,163350,,71,,,Active,,,https://www.redfin.com/IL/Evanston/1917-Greenwood-St-60201/home/185514291,MRED,11791307,N,Y,42.0434023,-87.6998569
MLS Listing,,Condo/Co-op,1720 Maple Ave #1770,Evanston,IL,60201,320000,1,1.0,Evanston,687,,2003,75,466,420,Active,,,https://www.redfin.com/IL/Evanston/1720-Maple-Ave-60201/unit-1770/home/12685563,MRED,11788338,N,Y,42.0496024,-87.685239
MLS Listing,,Single Family Residential,1220 Ridge Ave,Evanston,IL,60202,1445000,6,3.5,Evanston,5500,29185,1903,77,263,,Active,,,https://www.redfin.com/IL/Evanston/1220-Ridge-Ave-60202/home/13580593,MRED,11781987,N,Y,42.0402599,-87.6886596
MLS Listing,,Single Family Residential,9928 N Crawford Ave,Skokie,IL,60076,389000,3,2.5,Skokie,1600,4429,1960,79,243,,Active,,,https://www.redfin.com/IL/Skokie/9928-Crawford-Ave-60076/home/13632784,MRED,11784447,N,Y,42.0615394,-87.7277566
MLS Listing,,Condo/Co-op,1856 Sherman Ave Unit 7SW,Evanston,IL,60201,88000,2,1.0,Evanston,1000,,,80,88,1202,Active,,,https://www.redfin.com/IL/Evanston/1856-Sherman-Ave-60201/unit-7SW/home/185425567,MRED,11767779,N,Y,42.0517306,-87.682043
MLS Listing,,Single Family Residential,225 Hamilton St,Evanston,IL,60202,2150000,6,5.0,Evanston,5416,14636,1894,90,397,,Active,,,https://www.redfin.com/IL/Evanston/225-Hamilton-St-60202/home/12554805,MRED,11773880,N,Y,42.0394344,-87.6739736
MLS Listing,,Single Family Residential,701 Sheridan Rd,Evanston,IL,60202,1950000,6,4.5,Evanston,6416,16143,1900,92,304,,Active,,,https://www.redfin.com/IL/Evanston/701-Sheridan-Rd-60202/home/13575435,MRED,11774217,N,Y,42.0302244,-87.6702494
MLS Listing,,Condo/Co-op,1314 Ridge Ave #2,Evanston,IL,60201,1299000,5,4.5,Evanston,4399,,1917,100,295,1179,Active,August-6-2023 12:00 PM,August-6-2023 02:00 PM,https://www.redfin.com/IL/Evanston/1314-Ridge-Ave-60201/unit-2/home/26802394,MRED,11767746,N,Y,42.0417716,-87.6892067
MLS Listing,,Single Family Residential,1583 Dewey Ave,Evanston,IL,60201,679000,5,3.0,Evanston,1738,6969,1916,103,391,,Active,,,https://www.redfin.com/IL/Evanston/1583-Dewey-Ave-60201/home/179804966,MRED,11765610,N,Y,42.0468448,-87.6961102
MLS Listing,,Condo/Co-op,2619 Central St Unit 2S,Evanston,IL,60201,135000,2,1.0,Evanston,875,,1948,125,154,511,Active,,,https://www.redfin.com/IL/Evanston/2619-Central-St-60201/unit-2S/home/184903863,MRED,11748958,N,Y,42.064633,-87.7102108
MLS Listing,,Vacant Land,1613 Brummel St,Evanston,IL,60202,210000,,,Evanston,,4791,,127,,,Active,,,https://www.redfin.com/IL/Evanston/1613-Brummel-St-60202/home/22633759,MRED,11747625,N,Y,42.021692,-87.6956359
MLS Listing,,Multi-Family (2-4 Unit),2022 Colfax St,Evanston,IL,60201,750000,6,2.0,Evanston,,3484,1914,134,,,Active,,,https://www.redfin.com/IL/Evanston/2022-Colfax-St-60201/home/13631893,MRED,11742571,N,Y,42.0606137,-87.7016427
MLS Listing,,Single Family Residential,1101 Forest Ave,Evanston,IL,60202,3294990,5,6.0,Evanston,8840,19575,1902,140,373,,Active,August-6-2023 12:00 PM,August-6-2023 02:00 PM,https://www.redfin.com/IL/Evanston/1101-Forest-Ave-60202/home/13578801,MRED,11738978,N,Y,42.0377357,-87.6746408
MLS Listing,,Single Family Residential,17 Canterbury Ct,Wilmette,IL,60091,3100000,6,6.5,Wilmette,11003,17424,1930,150,282,,Active,,,https://www.redfin.com/IL/Wilmette/17-Canterbury-Ct-60091/home/13772904,MRED,11729668,N,Y,42.0718838,-87.6813154
MLS Listing,,Vacant Land,9201 Monticello Ave,Evanston,IL,60203,225000,,,Evanston,,8712,,162,,,Active,,,https://www.redfin.com/IL/Evanston/9201-Monticello-Ave-60203/home/184455607,MRED,11723968,N,Y,42.0483754,-87.7190434
MLS Listing,,Vacant Land,9200 Monticello Ave,Evanston,IL,60203,225000,,,Evanston,,8712,,162,,,Active,,,https://www.redfin.com/IL/Evanston/9200-Monticello-Ave-60203/home/184452966,MRED,11723949,N,Y,42.0483727,-87.7192986
MLS Listing,,Single Family Residential,1574 Asbury Ave,Evanston,IL,60201,685000,4,2.5,Evanston,3200,9500,1864,185,214,495,Active,August-6-2023 01:00 PM,August-6-2023 03:00 PM,https://www.redfin.com/IL/Evanston/1574-Asbury-Ave-60201/home/184056959,MRED,11709590,N,Y,42.0466155,-87.6904502
MLS Listing,,Single Family Residential,1212 Monroe St,Evanston,IL,60202,520000,5,3.5,Evanston,,3750,1921,209,,,Active,,,https://www.redfin.com/IL/Evanston/1212-Monroe-St-60202/home/22915775,MRED,11696864,N,Y,42.030682,-87.6891217
MLS Listing,,Condo/Co-op,425 Grove St Unit 5C,Evanston,IL,60201,625000,4,3.0,Evanston,2500,,1928,253,250,1523,Active,,,https://www.redfin.com/IL/Evanston/425-Grove-St-60201/unit-5C/home/181793538,MRED,11630607,N,Y,42.0446434,-87.6779148
MLS Listing,,Vacant Land,1821 Lake St,Evanston,IL,60201,350000,,,Evanston,,13068,,258,,,Active,,,https://www.redfin.com/IL/Evanston/1821-Lake-St-60201/home/77445303,MRED,11675879,N,Y,42.0444805,-87.6985909
MLS Listing,,Condo/Co-op,1508 Hinman Ave Unit 4B,Evanston,IL,60201,344900,2,2.0,Evanston,1600,,1949,293,216,1449,Active,,,https://www.redfin.com/IL/Evanston/1508-Hinman-Ave-60201/unit-4B/home/179809028,MRED,11651979,N,Y,42.045088,-87.6788777
MLS Listing,,Single Family Residential,90 Kedzie St,Evanston,IL,60202,5750000,5,5.0,Evanston,5865,23870,1904,296,980,,Active,,,https://www.redfin.com/IL/Evanston/90-Kedzie-St-60202/home/13575479,MRED,11649944,N,Y,42.0318279,-87.6692478
MLS Listing,,Vacant Land,1815 Hovland Ct,Evanston,IL,60201,110000,,,Evanston,,4356,,464,,,Active,,,https://www.redfin.com/IL/Evanston/1815-Hovland-Ct-60201/home/146038623,MRED,11385578,N,Y,42.0508,-87.700945
MLS Listing,,Vacant Land,517 University Pl,Evanston,IL,60201,2700000,,,Evanston,,10890,,622,,,Active,,,https://www.redfin.com/IL/Evanston/517-University-Pl-60201/home/173499739,MRED,10915539,N,Y,42.05153,-87.682795
